| Interactions | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg |
| tanbeta = 10, m0 = 80 m12 = 300 | 0.0314313, 0.0338949, 0.0289677 | 0.0777083, 0.0946091, 0.0608075 | 0.317813, 0.335853, 0.299773 | 0.0769337, 0.0811754, 0.0726919 | 0.234211, 0.269394, 0.199029 | 0.597083, 0.66022, 0.533945 | 0.0586, 0.0731261, 0.0440739 | 0.01853, 0.0241686, 0.0128914 | 0.113, 0.143124, 0.0828756 | 0.754, 0.845348, 0.662652 | 
| tanbeta = 10, m0 = 80 m12 = 320 | 0.0216677, 0.0233913, 0.0199441 | 0.0546462, 0.0667266, 0.0425657 | 0.230819, 0.243653, 0.217985 | 0.0613091, 0.064739, 0.0578792 | 0.153, 0.176588, 0.129412 | 0.423857, 0.469904, 0.37781 | 0.03801, 0.0478681, 0.0281519 | 0.0119, 0.0157031, 0.00809686 | 0.0691, 0.0886306, 0.0495694 | 0.491, 0.554023, 0.427977 | 
| tanbeta = 10, m0 = 80 m12 = 340 | 0.015074, 0.0162563, 0.0138918 | 0.0389337, 0.0478475, 0.03002 | 0.170483, 0.179817, 0.161149 | 0.0493035, 0.0521124, 0.0464947 | 0.101, 0.117026, 0.0849737 | 0.303996, 0.337432, 0.27056 | 0.02503, 0.0318284, 0.0182316 | 0.00775, 0.0103468, 0.00515322 | 0.0427418, 0.0555982, 0.0298855 | 0.325, 0.368999, 0.281001 | 
| tanbeta = 10, m0 = 80 m12 = 360 | 0.0106085, 0.0114462, 0.00977084 | 0.0280352, 0.0345808, 0.0214897 | 0.127815, 0.134721, 0.120909 | 0.0399445, 0.0422601, 0.0376288 | 0.0675, 0.0785804, 0.0564196 | 0.220159, 0.245287, 0.195031 | 0.01673, 0.0214833, 0.0119767 | 0.00511, 0.0069061, 0.0033139 | 0.0268144, 0.0355501, 0.0180788 | 0.216833, 0.248012, 0.185655 | 
| tanbeta = 10, m0 = 80 m12 = 380 | 0.00751772, 0.00811638, 0.00691905 | 0.0204029, 0.0252626, 0.0155431 | 0.0970646, 0.102258, 0.0918708 | 0.0325921, 0.0344942, 0.03069 | 0.0455, 0.0532423, 0.0377577 | 0.160165, 0.178436, 0.141893 | 0.0113, 0.0146507, 0.00794928 | 0.00341, 0.00466634, 0.00215366 | 0.0169505, 0.022821, 0.0110801 | 0.146306, 0.169028, 0.123583 | 
| tanbeta = 10, m0 = 80 m12 = 400 | 0.00537503, 0.00578815, 0.00496191 | 0.0149857, 0.0186378, 0.0113336 | 0.0745556, 0.0785176, 0.0705936 | 0.0267419, 0.0283362, 0.0251476 | 0.031, 0.0364555, 0.0255445 | 0.117204, 0.13117, 0.103237 | 0.007805, 0.0102195, 0.00539046 | 0.002302, 0.00318804, 0.00141596 | 0.0109291, 0.0150101, 0.00684814 | 0.0993031, 0.115868, 0.0827378 | 
| tanbeta = 10, m0 = 80 m12 = 420 | 0.00386836, 0.00416769, 0.00356902 | 0.0111017, 0.0138613, 0.00834214 | 0.0577857, 0.0608129, 0.0547585 | 0.0220853, 0.0234096, 0.0207609 | 0.021242, 0.0251817, 0.0173022 | 0.0862773, 0.0966035, 0.0759512 | 0.005417, 0.00716858, 0.00366542 | 0.001566, 0.00219882, 0.000933179 | 0.00704615, 0.00984264, 0.00424965 | 0.0680699, 0.0803792, 0.0557606 | 
| tanbeta = 10, m0 = 80 m12 = 440 | 0.00279894, 0.00301291, 0.00258496 | 0.00828636, 0.0103881, 0.0061846 | 0.0452453, 0.0476082, 0.0428824 | 0.0183367, 0.0194656, 0.0172077 | 0.0145898, 0.0174934, 0.0116862 | 0.0637171, 0.0715281, 0.055906 | 0.003795, 0.00507545, 0.00251455 | 0.001075, 0.00152946, 0.000620539 | 0.00463361, 0.00658591, 0.00268132 | 0.0471132, 0.056288, 0.0379384 | 
| tanbeta = 10, m0 = 100 m12 = 100 | 4.79895, 5.08693, 4.51098 | 9.33237, 10.869, 7.79573 | 199.356, 220.584, 178.128 | 0.80009, 0.834934, 0.765246 | 67.5167, 78.1121, 56.9213 | 55.9349, 62.4997, 49.3701 | 16.4547, 19.494, 13.4153 | 7, 8.20179, 5.79821 | 97.4536, 110.968, 83.9389 | 245.698, 272.236, 219.16 | 
| tanbeta = 10, m0 = 100 m12 = 120 | 2.36348, 2.50978, 2.21718 | 4.8308, 5.66306, 3.99854 | 49.8899, 54.5063, 45.2735 | 0.605622, 0.632525, 0.57872 | 30.9805, 35.7971, 26.164 | 29.3367, 32.5733, 26.1002 | 8.48995, 10.0623, 6.91764 | 3.13, 3.70276, 2.55724 | 37.8973, 43.384, 32.4106 | 110.199, 121.85, 98.5468 | 
