 | Interactions | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg | 
 |(scale=1.0) m0=100, m1/2=200, tanbeta=10, A0=0, sign(mu)=+ve| 0.2491 | 0.56971 | 2.38161 | 0.19806 | 2.41 | 3.84 | 0.6575 | 0.2233 | 1.68 | 7.93 |
 |(scale=1.0) m0=100, m1/2=220, tanbeta=10, A0=0, sign(mu)=+ve| 0.15687 | 0.364727 | 1.47311 | 0.15359 | 1.42 | 2.54 | 0.3802 | 0.1283 | 0.901 | 4.65 |
 |(scale=1.0) m0=100, m1/2=240, tanbeta=10, A0=0, sign(mu)=+ve| 0.101294 | 0.239668 | 0.955635 | 0.120314 | 0.862 | 1.71 | 0.2256 | 0.076 | 0.499 | 2.8 |
 |(scale=1.0) m0=100, m1/2=260, tanbeta=10, A0=0, sign(mu)=+ve| 0.06671 | 0.160928 | 0.644085 | 0.094984 | 0.535 | 1.17 | 0.138 | 0.0461 | 0.284 | 1.73 |
 |(scale=1.0) m0=100, m1/2=280, tanbeta=10, A0=0, sign(mu)=+ve| 0.04473 | 0.109919 | 0.446911 | 0.07554 | 0.338 | 0.816 | 0.08588 | 0.0285 | 0.166 | 1.09 |
 |(scale=1.0) m0=100, m1/2=300, tanbeta=10, A0=0, sign(mu)=+ve| 0.030432 | 0.076446 | 0.317848 | 0.060587 | 0.217 | 0.575 | 0.05473 | 0.0181 | 0.099 | 0.699 |
 |(scale=1.0) m0=100, m1/2=320, tanbeta=10, A0=0, sign(mu)=+ve| 0.0209851 | 0.053838 | 0.230966 | 0.048978 | 0.142 | 0.409 | 0.03551 | 0.0116 | 0.0601 | 0.455 |
 |(scale=1.0) m0=100, m1/2=340, tanbeta=10, A0=0, sign(mu)=+ve| 0.0146411 | 0.0385834 | 0.170545 | 0.039829 | 0.0936 | 0.294 | 0.02338 | 0.00757 | 0.0371 | 0.3 |
 |(scale=1.0) m0=100, m1/2=360, tanbeta=10, A0=0, sign(mu)=+ve| 0.0103226 | 0.0278454 | 0.12789 | 0.032604 | 0.0625 | 0.213 | 0.01563 | 0.005 | 0.0232 | 0.2 |
 |(scale=1.0) m0=100, m1/2=380, tanbeta=10, A0=0, sign(mu)=+ve| 0.0073245 | 0.0203267 | 0.0971454 | 0.026833 | 0.0421 | 0.155 | 0.01059 | 0.00334 | 0.0147 | 0.135 |
 |(scale=1.0) m0=100, m1/2=400, tanbeta=10, A0=0, sign(mu)=+ve| 0.0052514 | 0.0149807 | 0.0745405 | 0.0222215 | 0.0286 | 0.114 | 0.007252 | 0.002262 | 0.00941 | 0.0918 |
 |(scale=1.0) m0=100, m1/2=420, tanbeta=10, A0=0, sign(mu)=+ve| 0.00379467 | 0.0111401 | 0.0577854 | 0.0184807 | 0.0196 | 0.0839 | 0.005027 | 0.001539 | 0.00608 | 0.0629 |
 |(scale=1.0) m0=100, m1/2=440, tanbeta=10, A0=0, sign(mu)=+ve| 0.00275026 | 0.00833169 | 0.0452482 | 0.0154411 | 0.0135 | 0.062 | 0.003515 | 0.001058 | 0.00396 | 0.0434 |
 |(scale=1.0) m0=100, m1/2=460, tanbeta=10, A0=0, sign(mu)=+ve| 0.00201174 | 0.00628193 | 0.0357296 | 0.0129648 | 0.00935 | 0.0461 | 0.002483 | 0.000732 | 0.0026 | 0.0302 |
 |(scale=1.0) m0=100, m1/2=480, tanbeta=10, A0=0, sign(mu)=+ve| 0.00147727 | 0.00476653 | 0.0283085 | 0.0109344 | 0.00651 | 0.0343 | 0.001764 | 0.00051 | 0.00172 | 0.0211 |
 |(scale=1.0) m0=100, m1/2=500, tanbeta=10, A0=0, sign(mu)=+ve| 0.00108851 | 0.00363566 | 0.0225885 | 0.0092436 | 0.00456 | 0.0256 | 0.001259 | 0.000357 | 0.00114 | 0.0148 |
 |(scale=1.0) m0=100, m1/2=520, tanbeta=10, A0=0, sign(mu)=+ve| 0.00080661 | 0.00278956 | 0.0181787 | 0.007864 | 0.0032 | 0.0192 | 0.0009104 | 0.000252 | 0.000764 | 0.0104 |
 |(scale=1.0) m0=1020, m1/2=1000, tanbeta=10, A0=0, sign(mu)=+ve| 7.98845e-07 | 3.66278e-06 | 0.000250588 | 5.44836e-07 | 9.03e-08 | 1.88e-06 | 2.9291e-07 | 1.52e-08 | 3.55e-08 | 7.24e-07 |
 |(scale=1.0) m0=1020, m1/2=100, tanbeta=10, A0=0, sign(mu)=+ve| 0.20504 | 0.0087047 | 76.596 | 3.0451e-06 | 0.00482 | 0.0328 | 0.011622 | 0.00091 | 63.2 | 2.06 |
 |(scale=1.0) m0=1020, m1/2=120, tanbeta=10, A0=0, sign(mu)=+ve| 0.14307 | 0.0080022 | 28.3778 | 3.0186e-06 | 0.0045 | 0.0311 | 0.010229 | 0.000819 | 23.9 | 1.39 |
 |(scale=1.0) m0=1020, m1/2=140, tanbeta=10, A0=0, sign(mu)=+ve| 0.100873 | 0.0072606 | 13.5084 | 2.9885e-06 | 0.00413 | 0.029 | 0.008816 | 0.0007245 | 10.1 | 0.947 |
 |(scale=1.0) m0=1020, m1/2=160, tanbeta=10, A0=0, sign(mu)=+ve| 0.071994 | 0.0065279 | 7.30418 | 2.9524e-06 | 0.00373 | 0.0266 | 0.007457 | 0.0006307 | 4.6 | 0.655 |
 |(scale=1.0) m0=1020, m1/2=180, tanbeta=10, A0=0, sign(mu)=+ve| 0.051769 | 0.0057885 | 4.2859 | 2.9113e-06 | 0.00331 | 0.024 | 0.005644 | 0.0005413 | 2.25 | 0.458 |
