 | Sub-processes | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg |
 |(scale=2.0) m0=1040, m1/2=240, tanbeta=40, A0=-500, sign(mu)=+ve| 0.0177665 | 0.00276387 | 0.945493 | 5.48953e-06 | 0.00185 | 0.012 | 0.003849 | 0.000656 | 0.284 | 0.127 |
 |(scale=2.0) m0=1040, m1/2=260, tanbeta=40, A0=-500, sign(mu)=+ve| 0.0131358 | 0.00238834 | 0.658125 | 5.434e-06 | 0.00155 | 0.0103 | 0.003096 | 0.000537 | 0.161 | 0.0917 |
 |(scale=2.0) m0=1040, m1/2=280, tanbeta=40, A0=-500, sign(mu)=+ve| 0.0097457 | 0.00205156 | 0.468488 | 5.3737e-06 | 0.00129 | 0.00887 | 0.002475 | 0.0004355 | 0.0938 | 0.0662 |
 |(scale=2.0) m0=1040, m1/2=300, tanbeta=40, A0=-500, sign(mu)=+ve| 0.0072555 | 0.00175226 | 0.338681 | 5.3112e-06 | 0.00106 | 0.00754 | 0.001976 | 0.000351 | 0.0556 | 0.048 |
 |(scale=2.0) m0=1040, m1/2=320, tanbeta=40, A0=-500, sign(mu)=+ve| 0.0054202 | 0.00149102 | 0.248965 | 5.2553e-06 | 0.000869 | 0.00636 | 0.001564 | 0.000282 | 0.0338 | 0.0349 |
 |(scale=2.0) m0=1040, m1/2=340, tanbeta=40, A0=-500, sign(mu)=+ve| 0.0040502 | 0.00126657 | 0.185076 | 5.19e-06 | 0.000706 | 0.00533 | 0.001234 | 0.0002262 | 0.0209 | 0.0254 |
 |(scale=2.0) m0=1040, m1/2=360, tanbeta=40, A0=-500, sign(mu)=+ve| 0.00303128 | 0.00107452 | 0.139457 | 5.1214e-06 | 0.00057 | 0.00443 | 0.0009777 | 0.0001804 | 0.013 | 0.0186 |
 |(scale=2.0) m0=1040, m1/2=380, tanbeta=40, A0=-500, sign(mu)=+ve| 0.0022837 | 0.000909597 | 0.106211 | 5.0405e-06 | 0.000458 | 0.00367 | 0.0007701 | 0.0001433 | 0.00824 | 0.0136 |
 |(scale=2.0) m0=1040, m1/2=400, tanbeta=40, A0=-500, sign(mu)=+ve| 0.00172272 | 0.000767777 | 0.0814781 | 4.9592e-06 | 0.000366 | 0.00302 | 0.0006055 | 0.0001132 | 0.00529 | 0.00996 |
 |(scale=2.0) m0=1040, m1/2=40, tanbeta=40, A0=-500, sign(mu)=+ve| 0.56189 | 0.0073278 | 27.916 | 5.73538e-06 | 0.00522 | 0.0249 | 0.01427 | 0.002472 | 3970 | 6.16 |
 |(scale=2.0) m0=1040, m1/2=420, tanbeta=40, A0=-500, sign(mu)=+ve| 0.00130157 | 0.000645598 | 0.0632062 | 4.8857e-06 | 0.000291 | 0.00248 | 0.0004752 | 8.95e-05 | 0.00342 | 0.00731 |
 |(scale=2.0) m0=1040, m1/2=440, tanbeta=40, A0=-500, sign(mu)=+ve| 0.00098656 | 0.000543248 | 0.049225 | 4.802e-06 | 0.00023 | 0.00202 | 0.0003728 | 7.06e-05 | 0.00223 | 0.00537 |
 |(scale=2.0) m0=1040, m1/2=460, tanbeta=40, A0=-500, sign(mu)=+ve| 0.00074869 | 0.000455504 | 0.0387287 | 4.7169e-06 | 0.000181 | 0.00164 | 0.0002916 | 5.55e-05 | 0.00147 | 0.00396 |
 |(scale=2.0) m0=1040, m1/2=480, tanbeta=40, A0=-500, sign(mu)=+ve| 0.000571843 | 0.000382065 | 0.0306332 | 4.63075e-06 | 0.000143 | 0.00133 | 0.0002282 | 4.41e-05 | 0.000976 | 0.00291 |
 |(scale=2.0) m0=1040, m1/2=500, tanbeta=40, A0=-500, sign(mu)=+ve| 0.00043934 | 0.000319842 | 0.0243384 | 4.53327e-06 | 0.000112 | 0.00107 | 0.0001791 | 3.45e-05 | 0.00065 | 0.00215 |
 |(scale=2.0) m0=1040, m1/2=520, tanbeta=40, A0=-500, sign(mu)=+ve| 0.000336243 | 0.000267382 | 0.0194662 | 4.44876e-06 | 8.71e-05 | 0.000859 | 0.0001401 | 2.694e-05 | 0.000436 | 0.00158 |
 |(scale=2.0) m0=1040, m1/2=540, tanbeta=40, A0=-500, sign(mu)=+ve| 0.000258712 | 0.000223925 | 0.0156497 | 4.35203e-06 | 6.78e-05 | 0.000687 | 0.0001096 | 2.106e-05 | 0.000293 | 0.00117 |
 |(scale=2.0) m0=1040, m1/2=560, tanbeta=40, A0=-500, sign(mu)=+ve| 0.000199444 | 0.000186929 | 0.0126325 | 4.26609e-06 | 5.26e-05 | 0.000548 | 8.571e-05 | 1.637e-05 | 0.000198 | 0.000859 |
 |(scale=2.0) m0=1040, m1/2=580, tanbeta=40, A0=-500, sign(mu)=+ve| 0.000153865 | 0.000156162 | 0.0102377 | 4.16833e-06 | 4.07e-05 | 0.000435 | 6.7e-05 | 1.276e-05 | 0.000135 | 0.000633 |
 |(scale=2.0) m0=1040, m1/2=600, tanbeta=40, A0=-500, sign(mu)=+ve| 0.000119018 | 0.000130183 | 0.00834039 | 4.07387e-06 | 3.14e-05 | 0.000345 | 5.241e-05 | 9.92e-06 | 9.15e-05 | 0.000466 |
 |(scale=2.0) m0=1040, m1/2=60, tanbeta=40, A0=-500, sign(mu)=+ve| 0.37728 | 0.0070326 | 7.22751 | 5.77304e-06 | 0.00506 | 0.0246 | 0.01436 | 0.002397 | 629 | 3.68 |
 |(scale=2.0) m0=1040, m1/2=620, tanbeta=40, A0=-500, sign(mu)=+ve| 9.21676e-05 | 0.000108591 | 0.00681719 | 3.9777e-06 | 2.42e-05 | 0.000272 | 4.105e-05 | 7.72e-06 | 6.23e-05 | 0.000343 |
 |(scale=2.0) m0=1040, m1/2=640, tanbeta=40, A0=-500, sign(mu)=+ve| 7.1416e-05 | 9.05591e-05 | 0.00557651 | 3.88203e-06 | 1.86e-05 | 0.000214 | 3.205e-05 | 5.98e-06 | 4.26e-05 | 0.000252 |
 |(scale=2.0) m0=1040, m1/2=660, tanbeta=40, A0=-500, sign(mu)=+ve| 5.5354e-05 | 7.53672e-05 | 0.00459078 | 3.78896e-06 | 1.42e-05 | 0.000168 | 2.506e-05 | 4.63e-06 | 2.91e-05 | 0.000185 |
 |(scale=2.0) m0=1040, m1/2=680, tanbeta=40, A0=-500, sign(mu)=+ve| 4.30683e-05 | 6.27933e-05 | 0.00378379 | 3.68599e-06 | 1.09e-05 | 0.000131 | 1.962e-05 | 3.58e-06 | 1.99e-05 | 0.000136 |
 |(scale=2.0) m0=1040, m1/2=700, tanbeta=40, A0=-500, sign(mu)=+ve| 3.34791e-05 | 5.22407e-05 | 0.00312972 | 3.60323e-06 | 8.27e-06 | 0.000102 | 1.54e-05 | 2.763e-06 | 1.36e-05 | 9.93e-05 |
